"","gene_id","gene_name","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000260643.2","ENSG00000260643.2","AC092718.3","protein_coding",0.146134676328101,-0.222244455360205,1.84367983011574,0.0654709195678942,0.0942196335121612,-4.96918630770032
"ENSG00000121310.17","ENSG00000121310.17","ECHDC2","protein_coding",-0.188307156335727,5.75817311429917,-2.23032886729601,0.0259059687324219,0.040637980349665,-4.97131263338005
"ENSG00000092345.14","ENSG00000092345.14","DAZL","protein_coding",0.338113949241237,-4.58014407395034,1.69551238601981,0.0902320656957511,0.125906065355475,-4.97133219648502
"ENSG00000189233.12","ENSG00000189233.12","NUGGC","protein_coding",-0.31435255187092,-0.710414471790115,-1.83835846583724,0.0662512943664177,0.0952463459885983,-4.97165091076527
"ENSG00000102032.13","ENSG00000102032.13","RENBP","protein_coding",0.226937216416824,2.81767886187842,2.02354160069504,0.043233848080879,0.064778690416024,-4.97236473385841
"ENSG00000004455.17","ENSG00000004455.17","AK2","protein_coding",0.0996728426215769,7.07325147589539,2.23636334217316,0.025507206380124,0.040067667795825,-4.97384410091041
"ENSG00000269526.1","ENSG00000269526.1","ERVV-1","protein_coding",0.382196228382774,-4.56577291771961,1.69332895991653,0.0906467981049687,0.126453764513263,-4.97389514618238
"ENSG00000267127.7","ENSG00000267127.7","AC090360.1","protein_coding",0.211469758789579,-0.310529266673629,1.83539931514405,0.0666885613392603,0.0957782138840837,-4.97458902856714
"ENSG00000162009.8","ENSG00000162009.8","SSTR5","protein_coding",0.311683474893219,-5.46548330242851,1.6692196761195,0.0953290513404933,0.132283100498897,-4.9757726231396
"ENSG00000164438.6","ENSG00000164438.6","TLX3","protein_coding",0.364075085046244,-5.78590561217479,1.66312512556496,0.0965428750209633,0.133706674586986,-4.97636136275984
"ENSG00000124091.9","ENSG00000124091.9","GCNT7","protein_coding",-0.224113531238719,-2.46432210596026,-1.77209842274859,0.0766264422575049,0.108544591135465,-4.97725597241735
"ENSG00000100027.17","ENSG00000100027.17","YPEL1","protein_coding",-0.151283067033858,2.03357239512651,-1.98209936571129,0.047691022928529,0.0707247017982137,-4.97789319696135
"ENSG00000080839.12","ENSG00000080839.12","RBL1","protein_coding",0.176393935225188,4.0293317323968,2.13047852775837,0.0333306412124601,0.0511126786099565,-4.97833795979615
"ENSG00000185721.13","ENSG00000185721.13","DRG1","protein_coding",0.116878028728263,5.91891916176172,2.22508424746179,0.0262569092005997,0.0411318095963522,-4.97925529628994
"ENSG00000135097.7","ENSG00000135097.7","MSI1","protein_coding",0.421227887553994,1.31982865094762,1.90049444065999,0.0576025464378438,0.0839432858603894,-4.98013566542961
"ENSG00000171097.14","ENSG00000171097.14","KYAT1","protein_coding",-0.213573628191006,-3.38102786666774,-1.74017788336156,0.0820786028286809,0.115472698632259,-4.9801807827275
"ENSG00000006062.17","ENSG00000006062.17","MAP3K14","protein_coding",-0.154352997363766,3.87242701359577,-2.13561135513981,0.0329087117787116,0.0505365818528195,-4.98030861946548
"ENSG00000107643.16","ENSG00000107643.16","MAPK8","protein_coding",-0.1100795249262,5.32958052435601,-2.21377673571608,0.027027564239166,0.0422267050401463,-4.98173317674527
"ENSG00000179133.15","ENSG00000179133.15","C10orf67","protein_coding",0.367108386901581,-4.09036942906892,1.70167922366856,0.0890689533796482,0.12447637739053,-4.98342220342788
"ENSG00000073849.16","ENSG00000073849.16","ST6GAL1","protein_coding",-0.270299816624423,6.15723701614382,-2.23017743264745,0.0259160446704629,0.0406500516946678,-4.98444113769654
"ENSG00000178821.13","ENSG00000178821.13","TMEM52","protein_coding",0.281596573471306,0.392257349506984,1.85599624167105,0.0636938039149606,0.0918634768010771,-4.98677822721403
"ENSG00000111215.12","ENSG00000111215.12","PRR4","protein_coding",-0.212562033502246,-1.81455597373085,-1.78739492648185,0.0741205295769544,0.105344435036332,-4.98695348596662
"ENSG00000156381.9","ENSG00000156381.9","ANKRD9","protein_coding",0.181334834728932,4.1061062796631,2.12943490925699,0.033416993501565,0.0512249900385332,-4.98862270184161
"ENSG00000091490.11","ENSG00000091490.11","SEL1L3","protein_coding",-0.265004223880655,4.71430328487899,-2.19056152098914,0.0286712355117219,0.0445825832221703,-4.98955984930221
"ENSG00000181562.5","ENSG00000181562.5","EDDM3A","protein_coding",-0.291890946153429,-5.27728640319071,-1.67857604125554,0.0934894330343235,0.12993098397046,-4.98999214167879
"ENSG00000126216.15","ENSG00000126216.15","TUBGCP3","protein_coding",-0.118513427688266,4.94664927831147,-2.19581842543076,0.0282916756362097,0.0440324821336505,-4.99004230837003
"ENSG00000198818.10","ENSG00000198818.10","SFT2D1","protein_coding",0.126363909846955,5.28523671689838,2.20097142059379,0.0279238332746726,0.0435115398033431,-4.99068003692285
"ENSG00000137747.16","ENSG00000137747.16","TMPRSS13","protein_coding",0.32534880498433,4.18761593363087,2.12142011064161,0.03408657262071,0.0521483941849856,-4.99083779902764
"ENSG00000099875.15","ENSG00000099875.15","MKNK2","protein_coding",0.161927743828468,7.4900661089166,2.22688181038289,0.0261361658330716,0.0409614531069021,-4.99104580980294
"ENSG00000144550.13","ENSG00000144550.13","CPNE9","protein_coding",0.229575232929698,-2.58824215342385,1.74719295525872,0.0808541503842226,0.113919021190742,-4.99131500968468
"ENSG00000275793.1","ENSG00000275793.1","RIMBP3","protein_coding",0.256191080462261,-2.25107720762303,1.75768946233686,0.0790498001070319,0.111597795521089,-4.99137479971295
"ENSG00000178498.16","ENSG00000178498.16","DTX3","protein_coding",0.176592520976945,4.89788981486095,2.17932784244916,0.0294970709992206,0.0457292979218896,-4.99192738135302
"ENSG00000085788.14","ENSG00000085788.14","DDHD2","protein_coding",-0.20917641219034,5.89627898595455,-2.22331782458019,0.0263760307549577,0.0413070462387327,-4.99252625589968
